Contract,Name ,Chain,Standard,Weight
0xCcb60fB93A78Ba04c134aFeE4f7da60545D03F77,Avenged Sevenfold Concert Tickets,POLYGON,ERC-721,7
0x8634666bA15AdA4bbC83B9DbF285F73D9e46e4C2,Chicken Derby,POLYGON,ERC-721,7
0x8F8E18DbEbb8CA4fc2Bc7e3425FcdFd5264E33E8,Voxie Tactics Items,POLYGON,ERC-721,8
0x5EbF35CAe481E6fEc6B908D99C74cDdFAc237856,Tearing Spaces: The Celestials,POLYGON,ERC-721,8
0x7F36182DeE28c45dE6072a34D29855BaE76DBe2f,Wolf Game,ETHEREUM ,ERC-20,8
0xf5b0a3efb8e8e4c201e2a935f110eaaf3ffecb8d,Axie Infinity,ETHEREUM ,ERC-20,8
0x22d5f9B75c524Fec1D6619787e582644CD4D7422,Sunflower Land Collectibles,POLYGON,ERC-1155,8
0xc36cF0cFcb5d905B8B513860dB0CFE63F6Cf9F5c,Spider Tanks,ETHEREUM ,ERC-1155,8
0x4222b2a98dAa443C6a0a761300d7d6bfD9161E52,Illuvium,ETHEREUM ,ERC-1155,8
0xa342f5d851e866e18ff98f351f2c6637f4478db5,The Sandbox ASSETS,ETHEREUM ,ERC-1155,7
0x95Fcb7f46F1E652fDF23db087C0F24011775be00,Phantom Galaxies Origin Collection,POLYGON,ERC-1155,8
0x2953399124F0cBB46d2CbACD8A89cF0599974963,Satoshiverse Collectibles,POLYGON,ERC-1155,8
0x98E62FE371519d1d07e6f5BfCE04737D4DaCaBfD,NFT Worlds Items,POLYGON,ERC-1155,7
0x84c0151F4Ecf1b36346C5EB4122dd5dF9701Aa3c,Earn Alliance Badges,POLYGON,ERC-1155,9
0x9C09596d3D3691EA971F0b40B8Cad44186868267,Forest Knight : Gamrey's Treasure,POLYGON,ERC-1155,8
0x22d5f9B75c524Fec1D6619787e582644CD4D7422,Sunflower Land Collectibles,POLYGON,ERC-1155,8
