Contract,Name ,Chain,Standard,Weight
0x7b692917124f64e1658D67C72AB5DF5219078E37,,ETHEREUM,ERC-721,8
0xe0176bA60efddb29Cac5b15338C9962dAee9de0c,,ETHEREUM,ERC-721,7
0x4E76Fc610dA679c9D07C7d640831AD6FF81E0252,,ETHEREUM,ERC-721,6
0xC084a29DD0C9436568435938B1C6c5af4F5C035f,,ETHEREUM,ERC-721,9
0x696115768BBEf67Be8bd408d760332A7EfbEE92D,,ETHEREUM,ERC-721,7
0xcD041F40d497038E2da65988b7D7e2C0D9244619,,ETHEREUM,ERC-721,7
0xb345233fA189C643772a35586b915E222C278d85,,ETHEREUM,ERC-721,6
0xd0A07a76746707f6D6d36D9d5897B14a8e9ED493,,ETHEREUM,ERC-721,8
0x1a20B565A68C00A7463F53948d938107b7c76958,,ETHEREUM,ERC-721,8
0x8EAa9AE1Ac89B1c8C8a8104D08C045f78Aadb42D,,ETHEREUM,ERC-721,9
0x2D366Be8fA4D15c289964dD4Adf7Be6Cc5e896E8,,ETHEREUM,ERC-721,9
0x76236B6f13F687D0bbeDbbCe0e30e9F07d071C1C,,ETHEREUM,ERC-721,7
0x26BAdF693F2b103B021c670c852262b379bBBE8A,,ETHEREUM,ERC-721,7
0xE9Ab13482Aeab3727e976257D8e1f026e12e9ecD,,ETHEREUM,ERC-721,8
0x49adcC97404c197190a5866885018c558006974a,,ETHEREUM,ERC-721,8
0x28c6ea3F9cF9bC1a07A828fce1e7783261691B49,,ETHEREUM,ERC-721,8
0xf02EDAdfe0ccf03d59A70d621D2DAE8984a0B672,,ETHEREUM,ERC-721,8
0x475bFaa1848591ae0E6aB69600f48d828f61a80E,,ETHEREUM,ERC-721,6
0x215Fa7C9A4a2BBA701A5a8d6cF6E3975d3813E60,,ETHEREUM,ERC-721,7
0xD7448cCbA6E1C01A5FBE4748e062c500FCfdF4f2,,ETHEREUM,ERC-721,7
0xe47Fd6eAfb89aBce67071a7739fF2018c218Ba8A,,ETHEREUM,ERC-721,6
0x671F3B17628B1498dB264e8Ac77da4E78167Ba9E,,ETHEREUM,ERC-721,8
0xF4400511DA1f4a716D15D53847752087078A4B3A,,ETHEREUM,ERC-721,9
0x94693c9e342F759272d6f7b481703DF8e83b1818,,ETHEREUM,ERC-721,9
0xA30CF1135BE5Af62E412f22BD01069e2CEbA8706,,ETHEREUM,ERC-721,6
0x6C869A43A9D362eF870d75daE56A01887578421d,,ETHEREUM,ERC-721,7
0x365D87a8d31c656ED1479C0F54F19E3BE9F19537,,ETHEREUM,ERC-721,6
0x34d85c9CDeB23FA97cb08333b511ac86E1C4E258,,ETHEREUM,ERC-721,9
0x81ae0be3a8044772d04f32398bac1e1b4b215aa8,,ETHEREUM,ERC-721,8
0x85f740958906b317de6ed79663012859067E745B,,ETHEREUM,ERC-721,7
0x8e5324d34eE9AB2ed84ac9ba237CA0433E89130C,,ETHEREUM,ERC-721,6
0x6812f8FCeBe860C9231b210F1036A43DA98527af,,ETHEREUM,ERC-721,7
0xcA553e24617c7e2681B717C34C4AC2c5B25553A4,,ETHEREUM,ERC-721,9
0x94B6f3978B0A32f7Fa0B15243E86af1aEc23Deb5,,ETHEREUM,ERC-721,8
0x712B9720B37bd206ed938A5Fff4Ca48cb89643ba,Syndicate Genesis,ETHEREUM,ERC-721,
0x19AA57967162ECf03f29F5cdBb0c163FEa47eF56,New Ornament by Oxen,ETHEREUM,ERC-721,
0xb2F798Cf3e79Ef1e2906f16a692D58Da8d7AD268,Logbook by Metagame,ETHEREUM,ERC-721,
0xaC9695369A51dAd554D296885758C4AF35f77E94,Stardust Generation,ETHEREUM,ERC-721,
0xD1d30B80C5EFB9145782634fe0F9cbeD5D24ef3b,PeopleLand,ETHEREUM,ERC-721,
0x1Ca39c7F0F65B4Da24b094A9afac7aCf626B7f38,GEN.ART Membership,ETHEREUM,ERC-721,
0xf82927abCC8f032822Ed4d1B1Cc98c47FC016F71,joincircle - Early Supporters Badge,ETHEREUM,ERC-1155,
0x82c708379490f88d0d751d87610fd03f6f51a761,Kibatsu Mecha,ETHEREUM,ERC-721,
0xa3103ecfca832e5f3027771b8dfdccfb26cfd44c,Noox Genesis Pass Tier 2,ETHEREUM,ERC-721,
0xECBbAE02F5d24740f9DA6cA9e564FD62a3190F74,Noox Genesis Pass Tier 3,ETHEREUM,ERC-721,
0xD17Fce1c4c199ff9d02c9674ABF52fD35D9D058C,Checks - Floor App Pass Edition,ETHEREUM,ERC-721,
0x3bf2922f4520a8BA0c2eFC3D2a1539678DaD5e9D,0N1 Force,ETHEREUM,ERC-721,
0x28462739c3EB65a571Bf92689e8257c806bD275D,A0K1VERSE Passport,ETHEREUM,ERC-721,
0x709d30f1f60F03D85A0EF33142eF3259392dC9e1,Loser Club Official,ETHEREUM,ERC-721,
0x543D43F390b7d681513045e8a85707438c463d80,Webaverse Genesis Pass,ETHEREUM,ERC-721,
0x7e3Ef31186D1BEc0D3f35aD701D065743B84C790,Antonym: GENESIS,ETHEREUM,ERC-721,
0xF5b0A3eFB8e8E4c201e2A935F110eAaF3FFEcb8d,Axie Infinity,ETHEREUM,ERC-20,7
0x22C1f6050E56d2876009903609a2cC3fEf83B415,POAP,ETHEREUM,ERC-721,3
0x7581F8E289F00591818f6c467939da7F9ab5A777,TIMEPiece Minting Passes,ETHEREUM,ERC-721,4
0x6B8281Df97604eeae4b9e0d26E667507eB301E91,EZU,ETHEREUM,ERC-721,7
0x0b4B2bA334f476C8F41bFe52A428D6891755554d,JRNY Club,ETHEREUM,ERC-721,
0x26EeB71350d60466aB18C8cbaC1eA2D58C39c140,Alfa Pass,ETHEREUM,ERC-721,
0xbDdE08BD57e5C9fD563eE7aC61618CB2ECdc0ce0,Crypto Citizens,ETHEREUM,ERC-721,
0x61a073585e637aacde3135284054a47d42e19b50,CryptoDoges,ETHEREUM,ERC-721,
0x942BC2d3e7a589FE5bd4A5C6eF9727DFd82F5C8a,Friendship Bracelets by Alexis André,ETHEREUM,ERC-721,8
0x62D862dF5c57fa6A8910B0EB96e2a143Fd2db19C,ViralataFunk Camarote Bonde,ETHEREUM,ERC-721,
0x47691834Cbb96Ce5fBCd1c82f3804fBA63460370,Atlanteans,ETHEREUM,ERC-721,
0xE42caD6fC883877A76A26A16ed92444ab177E306,The Merge: Regenesis,ETHEREUM,ERC-721,6
0x932261f9Fc8DA46C4a22e31B45c4De60623848bF,Zerion DNA 1.0,ETHEREUM,ERC-721,
0x6b1bDe3D849C8f1Bf2cF036613B04E5840769Ac2,Galaxy: The Explorer Collection,ETHEREUM,ERC-721,
0xe2e27b49e405f6c25796167B2500C195F972eBac,Owls,ETHEREUM,ERC-721,
0xC5476f78D4C7e151C89Ff37Cf5D21C292c5D98DA,Number - CAL Edition,ETHEREUM,ERC-721,
0xD4307E0acD12CF46fD6cf93BC264f5D5D1598792,"Base, Introduced",ETHEREUM,ERC-721,8
0xEa883c11157002923640403021794102386b2d94,BlockchainBrett,ETHEREUM,ERC-721,8
0x760C355b8E3DBdA999CC7f41B9278104B782d235,Grimmies by Webacy,ETHEREUM,ERC-721,8
0x50e9dc61b38854e55900b1BEe88dC4183fC24127,Checks - Squiggle Edition,ETHEREUM,ERC-721,
0xe5c2C5242A25067ca58eA0543Ca36B8A84d79540,You have reached a digital resting point,ETHEREUM,ERC-721,
0x7e8Ba6E1366B82963e1f55E3Ca623bfdF77C3EA7,FWB Member Directory,ETHEREUM,ERC-721,7
0x5ecb8946369e593FA5581f1a4B98AcE506481fBF,Spring 23,ETHEREUM,ERC-721,
0x80d77B4Ae7cD0D7a21Fd3C1B2DA25A4a06B63923,BitcoinBillionaires,ETHEREUM,ERC-721,
0x01234567bac6fF94d7E4f0EE23119CF848F93245,ETH Blocks (by MEW),ETHEREUM,ERC-721,
0x0fb73942cdffd45ccc8517061ae7430cddde6b50,Constitution Fractionalized,ETHEREUM,ERC-721,
0xd96cc6ba0861c45821bf04ea8e47979393ae7af1,Lobby3 Membership Token,ETHEREUM,ERC-721,
0x5180db8F5c931aaE63c74266b211F580155ecac8,Crypto Coven,ETHEREUM,ERC-721,
0xb3767b2033CF24334095DC82029dbF0E9528039d,The Rocketeers,ETHEREUM,ERC-721,
0x1645787DdCb380932130F0d8c22E6Bf53a38e725,Rabby Desktop Genesis,ETHEREUM,ERC-721,8
0xEFB8D4bE4ff8CC3D7e3E0fe2773D620d5Eb02181,Metakafe,POLYGON,ERC-721,
0xc1acd4a01410e0a3b3cb2359cc8f2eb5d2ef1883,JUMP NEWS GENESIS ROCKET,POLYGON,ERC-721,
0x9F4838B4E33544A4278c6242F621F708A630E091,Nifty Tailors Membership,POLYGON,ERC-721,
0x27367EbA68e56666E0024Fb552f8eb849706D9FB,DAO Membership Collection,POLYGON,ERC-721,
0x3D8C06e65ebf06A9d40F313a35353be06BD46038,Phi Quest Object,POLYGON,ERC-721,
0x8E0DCCa4E6587d2028ed948b7285791269059a62,Rarible Bear Pass,POLYGON,ERC-721,
0xDcFA55E5581b1E3f04aC752C08692EacaA509d9e,Super Robots by Superdao,POLYGON,ERC-721,
0xe9E7F77200c071cbe7Fd638fc05d4Fd3bcF6F3F8,DAO Crypto Bootcamp collection,POLYGON,ERC-721,
0x672F2fCf98E106a621DE2Bf29B8E4e048Df07f9d,UFO 5K Lens,POLYGON,ERC-721,
0x5D666F215a85B87Cb042D59662A7ecd2C8Cc44e6,Galxe OAT Polygon,POLYGON,ERC-721,
0xFF04820c36759C9F5203021fe051239aD2dcca8a,Guild Pin,POLYGON,ERC-721,
0xc1C6A331D4013f40Ca830C06eD47564D0d2b21cD,Alumni Gems,POLYGON,ERC-721,
0xe76D97e833d6b0d77efb315cE674FCE1fB7C6030,Backdrop Community,POLYGON,ERC-721,
0x1F684F73981774D46dEdCFad30f78a6943866886,Floor App Invite,POLYGON,ERC-721,
0x401199b2fAF0e496f90447347a4330CDF5Cc913F,Nifty Tailors Membership,POLYGON,ERC-721,7
0x56EC5e47d5f278A6584236Ce765fea1B96580d6c,Wizard Land WL-Pass,POLYGON,ERC-721,7
0x38B300449E342552dEeA4E18d9162bc0c16420b5,8SIAN Wearables,POLYGON,ERC-721,8
0xE8FdFEE6CF77fcCb54D2fba7F9b45d5f29797169,The Meta Lite Collection,POLYGON,ERC-721,8
0x6C84D94E7c868e55AAabc4a5E06bdFC90EF3Bc72,bnfts Protocol,POLYGON,ERC-721,8
0x01D000ba996f4184794efB0bEEcd666DB1df51A3,Umbra OG Supporters,POLYGON,ERC-721,7
0x9F3a5A427071f2826fb6d55F74c8C3f737Fb8412,Alpha Insiders x Layer3,POLYGON,ERC-721,8
0xda053438a2d17bf23822fe138c723e26b324b411,The Rug NFT,ETHEREUM,ERC-1155,7
0x2fdc9909a2da96c8b01600b816df371c13e8b83b,Mint Season 4 V2,ETHEREUM,ERC-1155,
0xc068f85ec1aced9743506310f99d515317dc4b06,Bello Dashboard,ETHEREUM,ERC-1155,
0x500c5C9FE70E5820eC829354620f1C070224917d,DAO Central,ETHEREUM,ERC-1155,
0x091fc2e2bb9886d107BA3537DeFa42744282eaAa,House of Lee,ETHEREUM,ERC-1155,
0x4776DEFcF622c60C6419CCcc9eE9E9042fadf3F7,Coinage Media,ETHEREUM,ERC-1155,
0x6C903f20e2705aaaaC3F1B8c1cAa26E2c2131bd0,dispatch,ETHEREUM,ERC-721,7
0xcf80bbc08852e25314a6da7522b6dc8d8e759008,Highlight Club,POLYGON,ERC-1155,
